,number_of_jobs,number_of_machines,number_of_workers,optimum_reached,T(s),T_opt(s),LP,number_of_variables,number_of_constraints,nzs,version,number_of_projects
0,84,27,7,True,39.92799997329712,39.92799997329712,572.0,169092,384493,14303032,0,40
1,75,24,7,True,30.29800009727478,30.29800009727478,546.0,157601,236086,11564971,1,40
2,102,32,9,True,99.87700009346008,99.87700009346008,1050.0,271842,714370,36309983,2,40
3,81,26,7,True,57.17799997329712,57.17799997329712,2366.0,182708,328592,18526972,3,40
4,91,29,8,True,57.236000061035156,57.236000061035156,518.0,230753,541818,25126876,4,40
5,137,43,12,,3600.0,,,,,,5,40
6,95,30,8,True,75.35400009155273,75.35400009155273,406.0,245305,596927,26618377,6,40
7,97,31,8,True,101.72000002861023,101.72000002861023,2458.0,272129,616240,34629641,7,40
8,91,29,8,True,57.01900005340576,57.01900005340576,866.0,237989,483528,23728136,8,40
9,87,28,8,True,57.043999910354614,57.043999910354614,694.0,195606,489034,18958543,9,40
0,84,27,7,True,39.92799997329712,39.92799997329712,572.0,169092,384493,14303032,0,40
1,75,24,7,True,30.29800009727478,30.29800009727478,546.0,157601,236086,11564971,1,40
2,102,32,9,True,99.87700009346008,99.87700009346008,1050.0,271842,714370,36309983,2,40
3,81,26,7,True,57.17799997329712,57.17799997329712,2366.0,182708,328592,18526972,3,40
4,91,29,8,True,57.236000061035156,57.236000061035156,518.0,230753,541818,25126876,4,40
5,137,43,12,,3600.0,,,,,,5,40
6,95,30,8,True,75.35400009155273,75.35400009155273,406.0,245305,596927,26618377,6,40
7,97,31,8,True,101.72000002861023,101.72000002861023,2458.0,272129,616240,34629641,7,40
8,91,29,8,True,57.01900005340576,57.01900005340576,866.0,237989,483528,23728136,8,40
9,87,28,8,True,57.043999910354614,57.043999910354614,694.0,195606,489034,18958543,9,40
10,164,52,14,True,231.71199989318848,231.71199989318848,1194.0,671838,1369396,77835326,0,80
11,205,65,17,,3600.0,,,,,,1,80
12,171,54,14,True,344.80999994277954,344.80999994277954,6540.0,721454,1508972,91683829,2,80
13,191,60,16,,3600.0,,,,,,3,80
14,168,53,14,True,667.1860001087189,667.1860001087189,1130.0,696542,1438587,79019564,4,80
15,185,58,16,,3600.0,,,,,,5,80
16,256,80,21,,3600.0,,,,,,6,80
17,190,60,16,,3600.0,,,,,,7,80
18,167,53,14,True,295.99500012397766,295.99500012397766,5916.0,698136,1502091,92731202,8,80
19,165,52,14,True,193.7649998664856,193.7649998664856,874.0,652926,1223482,58599546,9,80
0,84,27,7,True,39.92799997329712,39.92799997329712,572.0,169092,384493,14303032,0,40
1,75,24,7,True,30.29800009727478,30.29800009727478,546.0,157601,236086,11564971,1,40
2,102,32,9,True,99.87700009346008,99.87700009346008,1050.0,271842,714370,36309983,2,40
3,81,26,7,True,57.17799997329712,57.17799997329712,2366.0,182708,328592,18526972,3,40
4,91,29,8,True,57.236000061035156,57.236000061035156,518.0,230753,541818,25126876,4,40
5,137,43,12,,3600.0,,,,,,5,40
6,95,30,8,True,75.35400009155273,75.35400009155273,406.0,245305,596927,26618377,6,40
7,97,31,8,True,101.72000002861023,101.72000002861023,2458.0,272129,616240,34629641,7,40
8,91,29,8,True,57.01900005340576,57.01900005340576,866.0,237989,483528,23728136,8,40
9,87,28,8,True,57.043999910354614,57.043999910354614,694.0,195606,489034,18958543,9,40
10,164,52,14,True,231.71199989318848,231.71199989318848,1194.0,671838,1369396,77835326,0,80
11,205,65,17,,3600.0,,,,,,1,80
12,171,54,14,True,344.80999994277954,344.80999994277954,6540.0,721454,1508972,91683829,2,80
13,191,60,16,,3600.0,,,,,,3,80
14,168,53,14,True,667.1860001087189,667.1860001087189,1130.0,696542,1438587,79019564,4,80
15,185,58,16,,3600.0,,,,,,5,80
16,256,80,21,,3600.0,,,,,,6,80
17,190,60,16,,3600.0,,,,,,7,80
18,167,53,14,True,295.99500012397766,295.99500012397766,5916.0,698136,1502091,92731202,8,80
19,165,52,14,True,193.7649998664856,193.7649998664856,874.0,652926,1223482,58599546,9,80
20,318,100,26,,3600.0,,,,,,0,120
21,348,109,29,,3600.0,,,,,,1,120
22,246,77,20,,3600.0,,,,,,2,120
23,271,85,23,,3600.0,,,,,,3,120
24,282,89,23,,3600.0,,,,,,4,120
25,304,95,25,,3600.0,,,,,,5,120
26,313,98,26,,3600.0,,,,,,6,120
27,322,101,27,,3600.0,,,,,,7,120
28,219,69,18,,3600.0,,,,,,8,120
29,311,98,26,,3600.0,,,,,,9,120
